Plasmid	End1	End2	Chromosome	Start	End	Length
PTQ4	x1	y1	chromosome_4	2666206	2703579	37374
PTQ5	y1	x1	chromosome_6	783686	807551	23866
PTQ7	x1	y1	chromosome_13	2380586	2428876	48291
PTQ16	y1	x1	chromosome_8	5026664	5027777	1114
PTQ18	y1	x1	chromosome_2	580193	626585	46393
PTQ19	x1	y1	chromosome_6	926062	977368	51307
PTQ20	x1	y1	chromosome_10	600796	662645	61850
PTQ21	x1	y1	chromosome_1	1393461	1445538	52078
PTQ22	x1	y1	chromosome_14	4148989	4157777	8789
PTQ24	x1	y1	chromosome_15	1008906	1087906	79001
PTQ27	y1	x1	chromosome_9	1583086	1614905	31820
PTQ30	y1	x1	chromosome_9	4440417	4474444	34028
PTQ31	y1	x1	chromosome_5	814654	858980	44327
PTQ32	x1	y1	chromosome_10	993651	1022784	29134
PTQ42	x1	y1	chromosome_6	5198384	5244443	46060
PTQ43	y1	x1	chromosome_2	5861982	5968094	106113
PTQ47	x1	y1	chromosome_6	2214156	2224004	9849
PTQ49	y1	x1	chromosome_11	631552	698951	67400
PTQ50	y1	x1	chromosome_3	9009182	9109415	100234
PTQ51	y1	x1	chromosome_6	2670319	2834421	164103
PTQ52	y1	x1	chromosome_9	4680503	4712497	31995
PTQ54	y1	x1	chromosome_3	2984156	3009511	25356
PTQ63	x1	y1	chromosome_8	5026846	5027645	800
PTQ65	x1	y1	chromosome_1	3249463	3265917	16455
PTQ66	x1	y1	chromosome_3	33731	64370	30640
PTQ72	y1	x1	chromosome_2	4897779	4969527	71749
PTQ74	x1	y1	chromosome_7	3631268	3722641	91374
PTQ75	x1	y1	chromosome_16	2796789	2858317	61529
PTQ77	x1	y1	chromosome_17	3526589	3601899	75311
PTQ80	x1	y1	chromosome_8	5026800	5027979	1180
PTQ85	x1	y1	chromosome_6	5732234	5768626	36393
PTQ90	x1	y1	chromosome_1	3870230	3892437	22208
PTQ93	y1	x1	chromosome_1	6314128	6402225	88098
PTQ96	y1	x1	chromosome_6	5615892	5680257	64366
PTQ97	x1	y1	chromosome_13	2035290	2061734	26445
PTQ98	x1	y1	chromosome_1	6722911	6743790	20880
PTQ99	y1	x1	chromosome_4	3292032	3383444	91413
PTQ101	x1	y1	chromosome_6	6520158	6550980	30823
PTQ108	y1	x1	chromosome_14	4148939	4157777	8839
PTQ110	x1	y1	chromosome_10	1975399	2046414	71016
PTQ111	x1	y1	chromosome_16	710973	758347	47375
PTQ112	y1	x1	chromosome_16	5322135	5417909	95775
PTQ113	y1	x1	chromosome_4	100906	137329	36424
PTQ116	y1	x1	chromosome_5	2655364	2682782	27419
PTQ118	y1	x1	chromosome_3	7341546	7367537	25992
PTQ119	x1	y1	chromosome_3	6342970	6386562	43593
PTQ120	x1	y1	chromosome_8	5026357	5027970	1614
PTQ125	y1	x1	chromosome_16	4110718	4199697	88980
PTQ130	x1	y1	chromosome_17	2072127	2096841	24715
PTQ131	y1	x1	chromosome_1	6625827	6668455	42629
PTQ133	x1	y1	chromosome_17	2862684	2921613	58930
PTQ136	x1	y1	chromosome_9	5094962	5149883	54922
PTQ137	x1	y1	chromosome_12	8290695	8384552	93858
PTQ139	y1	x1	chromosome_9	3476164	3614271	138108
PTQ140	y1	x1	chromosome_12	2289274	9156152	6866879
PTQ141	y1	x1	chromosome_4	512762	592982	80221
PTQ142	y1	x1	chromosome_7	2687714	2726479	38766
PTQ144	y1	x1	chromosome_1	2504761	2545560	40800
PTQ148	y1	x1	chromosome_2	545006	562126	17121
PTQ150	x1	y1	chromosome_12	1972033	1996676	24644
PTQ152	y1	x1	chromosome_10	1158014	1198208	40195
PTQ155	y1	x1	chromosome_1	1704239	1745179	40941
PTQ156	y1	x1	chromosome_2	8917663	8945728	28066
PTQ157	x1	y1	chromosome_6	7815791	7929667	113877
PTQ158	y1	x1	chromosome_1	900886	945937	45052
PTQ159	y1	x1	chromosome_8	5026590	5027950	1361
PTQ161	y1	x1	chromosome_1	3509169	3583003	73835
PTQ163	x1	y1	chromosome_17	3317861	3378989	61129
PTQ164	x1	y1	chromosome_13	2869753	2921617	51865
PTQ166	x1	y1	chromosome_4	1265285	1291148	25864
PTQ167	y1	x1	chromosome_12	8872425	9004216	131792
PTQ168	x1	y1	chromosome_3	5182830	5206065	23236
PTQ173	y1	x1	chromosome_16	4711539	4802920	91382
PTQ175	y1	x1	chromosome_9	7610486	7688544	78059
PTQ176	y1	x1	chromosome_12	1725818	1728568	2751
PTQ179	y1	x1	chromosome_3	7768102	7845403	77302
PTQ180	y1	x1	chromosome_2	2720158	2791083	70926
PTQ181	x1	y1	chromosome_6	5732234	5768642	36409
PTQ182	y1	x1	chromosome_17	1362027	1399999	37973
PTQ187	x1	y1	chromosome_12	5351633	5395700	44068
PTQ188	x1	y1	chromosome_9	1686396	1752857	66462
PTQ189	y1	x1	chromosome_8	4892980	5000833	107854
PTQ195	y1	x1	chromosome_1	814347	871574	57228
PTQ196	y1	x1	chromosome_3	4059626	4089742	30117
PTQ197	y1	x1	chromosome_14	281981	311420	29440
PTQ199	y1	x1	chromosome_2	977422	1090666	113245
PTQ201	x1	y1	chromosome_2	462384	526609	64226
PTQ202	y1	x1	chromosome_3	2872572	2932435	59864
PTQ204	y1	x1	chromosome_10	2906031	2953831	47801
PTQ208	y1	x1	chromosome_3	6210355	6253043	42689
PTQ209	y1	x1	chromosome_10	236495	376100	139606
PTQ210	x1	y1	chromosome_10	5380694	5461339	80646
PTQ212	x1	y1	chromosome_9	3952985	4018076	65092
PTQ215	x1	y1	chromosome_12	262887	280731	17845
PTQ220	x1	y1	chromosome_1	4911106	4942879	31774
PTQ222	y1	x1	chromosome_5	3227107	3257781	30675
PTQ226	y1	x1	chromosome_16	2579398	2609262	29865
PTQ228	y1	x1	chromosome_16	4110717	4199697	88981
PTQ229	y1	x1	chromosome_16	4110717	4199697	88981
PTQ230	y1	x1	chromosome_14	4148947	4157777	8831
PTQ232	y1	x1	chromosome_13	875854	909528	33675
PTQ233	y1	x1	chromosome_6	7319755	7367732	47978
PTQ234	x1	y1	chromosome_17	4264699	4300777	36079
PTQ235	x1	y1	chromosome_17	1254488	1311549	57062
PTQ238	y1	x1	chromosome_17	1329659	1352999	23341
PTQ239	y1	x1	chromosome_8	2079303	2151614	72312
PTQ240	y1	x1	chromosome_10	3906281	3942553	36273
PTQ242	y1	x1	chromosome_16	907315	932391	25077
PTQ243	y1	x1	chromosome_9	4680503	4712497	31995
PTQ245	x1	y1	chromosome_1	2759679	2824606	64928
PTQ246	x1	y1	chromosome_6	1161339	1208886	47548
PTQ247	x1	y1	chromosome_3	4122913	4254289	131377
PTQ252	x1	y1	chromosome_12	8408595	8534151	125557
PTQ254	x1	y1	chromosome_14	2231791	2318970	87180
PTQ256	y1	x1	chromosome_14	1281200	1355992	74793
PTQ260	y1	x1	chromosome_16	5906149	5971988	65840
PTQ261	y1	x1	chromosome_12	6227312	6277470	50159
PTQ264	x1	y1	chromosome_2	175721	258822	83102
PTQ265	x1	y1	chromosome_17	2860169	2921613	61445
PTQ267	x1	y1	chromosome_1	4466758	4531060	64303
PTQ269	x1	y1	chromosome_12	7283333	7390285	106953
PTQ270	x1	y1	chromosome_7	736007	745941	9935
PTQ273	x1	y1	chromosome_1	6530884	6568506	37623
PTQ276	x1	y1	chromosome_9	4285038	4363538	78501
PTQ278	x1	y1	chromosome_9	361434	425335	63902
PTQ279	y1	x1	chromosome_1	2402495	2467305	64811
PTQ280	y1	x1	chromosome_3	4724332	4770576	46245
PTQ286	x1	y1	chromosome_3	2291203	2340142	48940
PTQ287	y1	x1	chromosome_2	6387017	6502576	115560
PTQ288	y1	x1	chromosome_7	2760094	2805877	45784
PTQ289	x1	y1	chromosome_14	4148978	4157777	8800
PTQ291	y1	x1	chromosome_10	4526990	4602800	75811
PTQ292	y1	x1	chromosome_17	4102281	4171462	69182
PTQ292	y2	x1	chromosome_17	4102287	4171462	69176
PTQ293	y1	x1	chromosome_4	1064034	1089990	25957
PTQ294	x1	y1	chromosome_9	3399762	3431338	31577
PTQ294	x1	y2	chromosome_9	3399762	3431334	31573
PTQ296	y1	x1	chromosome_6	2224046	2292074	68029
PTQ296	y2	x1	chromosome_6	2224018	2292074	68057
PTQ304	y2	x1	chromosome_3	1291829	1388307	96479
PTQ307	y1	x1	chromosome_6	4922316	4948823	26508
PTQ307	y2	x1	chromosome_6	4922318	4948823	26506
PTQ308	x1	y1	chromosome_3	6275634	6302356	26723
PTQ308	x1	y2	chromosome_3	6275634	6302356	26723
PTQ309	y2	x1	chromosome_3	3719998	3848028	128031
PTQ311	x1	y1	chromosome_17	84264	108928	24665
PTQ311	x1	y2	chromosome_17	84264	108936	24673
PTQ314	x1	y2	chromosome_1	2999592	3046274	46683
PTQ314	y1	y2	chromosome_1	2999606	3046274	46669
PTQ316	x1	y1	chromosome_9	3215740	3266840	51101
PTQ316	x1	y2	chromosome_9	3215740	3266866	51127
PTQ317	y1	x1	chromosome_2	3750747	3809038	58292
PTQ318	x1	y1	chromosome_1	3290619	3372295	81677
PTQ318	x1	y2	chromosome_1	3290619	3372293	81675
PTQ320	x1	y1	chromosome_4	2745821	2796025	50205
PTQ320	x1	y2	chromosome_4	2745821	2796029	50209
PTQ326	y1	x1	chromosome_2	5300427	5380317	79891
PTQ326	y2	x1	chromosome_2	5300427	5380317	79891
PTQ329	x1	y1	chromosome_6	7799845	7825226	25382
PTQ329	x1	y2	chromosome_6	7799845	7825221	25377
PTQ330	x1	y1	chromosome_16	302730	392766	90037
PTQ330	x1	y2	chromosome_16	302730	392761	90032
PTQ331	y1	x1	chromosome_17	2032672	2096843	64172
PTQ331	y2	x1	chromosome_17	2032681	2096843	64163
PTQ332	y1	x1	chromosome_1	6531660	6656957	125298
PTQ332	y2	x1	chromosome_1	6531667	6656957	125291
PTQ333	y1	x1	chromosome_3	2983889	3009511	25623
PTQ333	y2	x1	chromosome_3	2983846	3009511	25666
PTQ335	x1	y1	chromosome_14	1692080	1733913	41834
PTQ335	x1	y2	chromosome_14	1692080	1733959	41880
PTQ338	x1	y1	chromosome_8	1784923	1846182	61260
PTQ338	x1	y2	chromosome_8	1784923	1846181	61259
PTQ339	y1	x1	chromosome_1	6752212	6806920	54709
PTQ341	y1	x1	chromosome_17	426336	460524	34189
PTQ341	y2	x1	chromosome_17	426336	460524	34189
PTQ343	x1	y1	chromosome_3	5896721	5952967	56247
PTQ343	x1	y2	chromosome_3	5896721	5952961	56241
PTQ344	x1	y1	chromosome_8	4326380	4415948	89569
PTQ344	x1	y2	chromosome_8	4326380	4415948	89569
PTQ348	y2	x1	chromosome_2	559638	612363	52726
PTQ348	y2	y1	chromosome_2	559638	612297	52660
PTQ354	x1	y1	chromosome_9	2647234	2722239	75006
PTQ354	x1	y2	chromosome_9	2647234	2722237	75004
PTQ355	x1	y2	chromosome_3	3907651	3936144	28494
PTQ355	y1	y2	chromosome_3	3907631	3936144	28514
PTQ356	y1	x1	chromosome_2	612093	661213	49121
PTQ356	y2	x1	chromosome_2	612097	661213	49117
PTQ359	y1	x1	chromosome_3	2464793	2555217	90425
PTQ359	y2	x1	chromosome_3	2464787	2555217	90431
PTQ360	x1	y1	chromosome_3	7137638	7196577	58940
PTQ360	x1	y2	chromosome_3	7137638	7196576	58939
PTQ362	y2	x1	chromosome_2	7139859	7189172	49314
PTQ362	y2	y1	chromosome_2	7139859	7188914	49056
PTQ364	y1	x1	chromosome_14	4148916	4157777	8862
PTQ364	y2	x1	chromosome_14	4149377	4157777	8401
PTQ366	x1	y2	chromosome_1	4811442	4873006	61565
PTQ370	x1	y2	chromosome_1	6525633	6568539	42907
PTQ373	y1	x1	chromosome_17	1361774	1400045	38272
PTQ373	y2	x1	chromosome_17	1361765	1400045	38281
PTQ374	y1	x1	chromosome_3	3729761	3754688	24928
PTQ374	y2	x1	chromosome_3	3729766	3754688	24923
PTQ376	y1	y2	chromosome_3	6983810	7029534	45725
PTQ377	y1	x1	chromosome_8	2664923	2678204	13282
PTQ378	x1	y1	chromosome_17	5078677	5137441	58765
PTQ378	x1	y2	chromosome_17	5078677	5137440	58764
PTQ379	y1	x1	chromosome_10	3138898	3254749	115852
PTQ379	y2	x1	chromosome_10	3138908	3254749	115842
PTQ380	y1	x1	chromosome_12	9392531	9425361	32831
PTQ380	y2	x1	chromosome_12	9392530	9425361	32832
PTQ382	x1	y1	chromosome_10	6288337	6329278	40942
PTQ382	x1	y2	chromosome_10	6288337	6329273	40937
PTQ383	y1	x1	chromosome_12	94824	201173	106350
PTQ383	y2	x1	chromosome_12	94796	201173	106378
PTQ384	y1	x1	chromosome_1	4420212	4466759	46548
PTQ384	y2	x1	chromosome_1	4420213	4466759	46547
PTQ385	x3	y3	chromosome_10	5839979	5944161	104183
PTQ386	y1	x1	chromosome_12	8980790	9003859	23070
PTQ386	y1	x3	chromosome_12	8980790	9003859	23070
PTQ386	y3	x1	chromosome_12	8980787	9003859	23073
PTQ386	y3	x3	chromosome_12	8980787	9003859	23073
PTQ387	x3	y3	chromosome_2	898272	993646	95375
PTQ390	x1	y1	chromosome_14	4149025	4150621	1597
PTQ390	x1	y3	chromosome_14	4149025	4157777	8753
PTQ390	x3	y1	chromosome_14	4148985	4150621	1637
PTQ390	x3	y3	chromosome_14	4148985	4157777	8793
PTQ391	y3	x3	chromosome_10	2988235	3083899	95665
PTQ393	x1	y1	chromosome_14	4148995	4150219	1225
PTQ393	x1	y3	chromosome_14	4148995	4157777	8783
PTQ393	x3	y1	chromosome_14	4148967	4150219	1253
PTQ393	x3	y3	chromosome_14	4148967	4157777	8811
PTQ394	y3	x3	chromosome_3	8119796	8144056	24261
PTQ399	x3	y3	chromosome_13	131212	179568	48357
PTQ400	x1	y3	chromosome_14	95285	218711	123427
PTQ400	x3	y3	chromosome_14	95285	218711	123427
PTQ401	y3	x3	chromosome_10	2988272	3083899	95628
PTQ402	y3	x3	chromosome_10	6454088	6553323	99236
PTQ405	y1	x1	chromosome_10	6454095	6553323	99229
PTQ405	y1	x3	chromosome_10	6454095	6553323	99229
PTQ405	y3	x1	chromosome_10	6454088	6553323	99236
PTQ405	y3	x3	chromosome_10	6454088	6553323	99236
PTQ406	y1	x1	chromosome_3	3555027	3582678	27652
PTQ406	y1	x3	chromosome_3	3555027	3582678	27652
PTQ406	y3	x1	chromosome_3	3555046	3582678	27633
PTQ406	y3	x3	chromosome_3	3555046	3582678	27633
PTQ407	x1	y1	chromosome_1	6232606	6314118	81513
PTQ407	x1	y3	chromosome_1	6232606	6314142	81537
PTQ407	x3	y1	chromosome_1	6232600	6314118	81519
PTQ407	x3	y3	chromosome_1	6232600	6314142	81543
PTQ411	x3	y1	chromosome_3	1009947	1032125	22179
PTQ411	x3	y3	chromosome_3	1009947	1032157	22211
PTQ413	x3	y1	chromosome_2	8478289	8532612	54324
PTQ418	x1	y1	chromosome_7	2834147	2854045	19899
PTQ418	x1	y3	chromosome_7	2834147	2854038	19892
PTQ418	x3	y1	chromosome_7	2834134	2854045	19912
PTQ418	x3	y3	chromosome_7	2834134	2854038	19905
PTQ419	x3	y3	chromosome_1	5096490	5122759	26270
PTQ420	x3	y3	chromosome_12	6303670	6436876	133207
PTQ421	x3	y3	chromosome_13	1373836	1391979	18144
PTQ422	x1	y1	chromosome_7	2193624	2226719	33096
PTQ422	x1	y3	chromosome_7	2193624	2226729	33106
PTQ422	x3	y1	chromosome_7	2193631	2226719	33089
PTQ422	x3	y3	chromosome_7	2193631	2226729	33099
PTQ423	x3	y1	chromosome_1	2135398	2219571	84174
PTQ423	x3	y3	chromosome_1	2135398	2219577	84180
PTQ424	y3	x3	chromosome_16	1170087	1296882	126796
PTQ426	x3	y1	chromosome_2	3296774	3314512	17739
PTQ426	x3	y3	chromosome_2	3296774	3314514	17741
PTQ427	y1	x1	chromosome_3	4249963	4367344	117382
PTQ427	y3	x1	chromosome_3	4249889	4367344	117456
PTQ428	y1	x1	chromosome_15	136911	194624	57714
PTQ428	y1	x3	chromosome_15	136911	194624	57714
PTQ428	y3	x1	chromosome_15	136910	194624	57715
PTQ428	y3	x3	chromosome_15	136910	194624	57715
PTQ429	y3	x1	chromosome_9	2873927	2953335	79409
PTQ429	y3	x3	chromosome_9	2873927	2953335	79409
PTQ430	x1	y1	chromosome_3	8889456	8911045	21590
PTQ430	x1	y3	chromosome_3	8889456	8911032	21577
PTQ430	x3	y1	chromosome_3	8889456	8911045	21590
PTQ430	x3	y3	chromosome_3	8889456	8911032	21577
PTQ432	y1	x3	chromosome_7	5559638	5631144	71507
PTQ432	y3	x3	chromosome_7	5559631	5631144	71514
PTQ433	y1	x1	chromosome_10	6235400	6287295	51896
PTQ433	y1	x3	chromosome_10	6235400	6287295	51896
PTQ433	y3	x1	chromosome_10	6235397	6287295	51899
PTQ433	y3	x3	chromosome_10	6235397	6287295	51899
PTQ434	y1	x3	chromosome_12	3711771	3754519	42749
PTQ434	y3	x3	chromosome_12	3711769	3754519	42751
PTQ435	x3	y3	chromosome_3	1827261	1879876	52616
PTQ435	y1	y3	chromosome_3	1827254	1879876	52623
PTQ439	y3	x3	chromosome_12	4911152	4971144	59993
PTQ441	y3	x3	chromosome_13	4627809	4664442	36634
PTQ443	x3	y3	chromosome_13	199422	268526	69105
PTQ444	x3	y1	chromosome_10	113862	188000	74139
PTQ444	x3	y3	chromosome_10	113862	188008	74147
PTQ446	y1	x1	chromosome_6	5518573	5558142	39570
PTQ446	y1	x3	chromosome_6	5518573	5558142	39570
PTQ446	y3	x1	chromosome_6	5518569	5558142	39574
PTQ446	y3	x3	chromosome_6	5518569	5558142	39574
PTQ447	x3	y1	chromosome_7	609928	636378	26451
PTQ447	x3	y3	chromosome_7	609928	636382	26455
PTQ448	y3	x1	chromosome_8	763592	781316	17725
PTQ448	y3	x3	chromosome_8	763592	781316	17725
PTQ449	y3	x3	chromosome_2	4160385	4203918	43534
PTQ451	y3	x1	chromosome_7	5167082	5238089	71008
PTQ451	y3	x3	chromosome_7	5167082	5238089	71008
PTQ452	x1	y1	chromosome_7	1283736	1324791	41056
PTQ452	x1	y3	chromosome_7	1283736	1324819	41084
PTQ452	x3	y1	chromosome_7	1283736	1324791	41056
PTQ452	x3	y3	chromosome_7	1283736	1324819	41084
PTQ453	y1	x1	chromosome_8	1614295	1674517	60223
PTQ453	y1	x3	chromosome_8	1614295	1674517	60223
PTQ453	y3	x1	chromosome_8	1614292	1674517	60226
PTQ453	y3	x3	chromosome_8	1614292	1674517	60226
PTQ455	x1	y1	chromosome_6	649684	693929	44246
PTQ455	x1	y3	chromosome_6	649684	693913	44230
PTQ455	y1	x3	chromosome_6	693153	742414	49262
PTQ455	y3	x3	chromosome_6	693056	742414	49359
PTQ456	x1	y1	chromosome_1	3209420	3229360	19941
PTQ456	x1	y3	chromosome_1	3209420	3229360	19941
PTQ456	x3	y1	chromosome_1	3209420	3229360	19941
PTQ456	x3	y3	chromosome_1	3209420	3229360	19941
PTQ457	x3	y1	chromosome_2	507779	613476	105698
PTQ457	x3	y3	chromosome_2	507779	613487	105709
PTQ458	y1	x1	chromosome_17	3346416	3367235	20820
PTQ458	y1	x3	chromosome_17	3346416	3367235	20820
PTQ458	y3	x1	chromosome_17	3346431	3367235	20805
PTQ458	y3	x3	chromosome_17	3346431	3367235	20805
PTQ459	x3	y1	chromosome_17	1340356	1365769	25414
PTQ459	x3	y3	chromosome_17	1340356	1365771	25416
PTQ461	x3	y1	chromosome_16	1231581	1300010	68430
PTQ461	x3	y3	chromosome_16	1231581	1300010	68430
PTQ462	y1	x1	chromosome_13	886255	909528	23274
PTQ462	y1	x2	chromosome_13	886255	909535	23281
PTQ462	y1	x3	chromosome_13	886255	909528	23274
PTQ462	y3	x1	chromosome_13	886253	909528	23276
PTQ462	y3	x2	chromosome_13	886253	909535	23283
PTQ462	y3	x3	chromosome_13	886253	909528	23276
PTQ463	x3	y1	chromosome_8	114671	260291	145621
PTQ463	x3	y3	chromosome_8	114671	260298	145628
PTQ464	x3	y1	chromosome_1	2522465	2571094	48630
PTQ464	x3	y3	chromosome_1	2522465	2571094	48630
PTQ466	y1	x1	chromosome_16	2205765	2233037	27273
PTQ466	y1	x3	chromosome_16	2205765	2233037	27273
PTQ466	y3	x1	chromosome_16	2205764	2233037	27274
PTQ466	y3	x3	chromosome_16	2205764	2233037	27274
PTQ472	y3	x1	chromosome_2	465625	526606	60982
PTQ472	y3	x3	chromosome_2	465625	526606	60982
PTQ473	y3	x3	chromosome_7	3602469	3631257	28789
PTQ474	x1	y1	chromosome_12	8082666	8154146	71481
PTQ474	x1	y3	chromosome_12	8082666	8154150	71485
PTQ474	x2	y1	chromosome_12	8082658	8154146	71489
PTQ474	x2	y3	chromosome_12	8082658	8154150	71493
PTQ474	x3	y1	chromosome_12	8082666	8154146	71481
PTQ474	x3	y3	chromosome_12	8082666	8154150	71485
PTQ476	y1	x1	chromosome_1	6593630	6668041	74412
PTQ476	y1	x3	chromosome_1	6593630	6668041	74412
PTQ476	y3	x1	chromosome_1	6593511	6668041	74531
PTQ476	y3	x3	chromosome_1	6593511	6668041	74531
PTQ477	x1	y1	chromosome_9	5566646	5606157	39512
PTQ477	x1	y2	chromosome_9	5566646	5606137	39492
PTQ477	x1	y3	chromosome_9	5566646	5606170	39525
PTQ477	x2	y1	chromosome_9	5566646	5606157	39512
PTQ477	x2	y2	chromosome_9	5566646	5606137	39492
PTQ477	x2	y3	chromosome_9	5566646	5606170	39525
PTQ477	x3	y1	chromosome_9	5566646	5606157	39512
PTQ477	x3	y2	chromosome_9	5566646	5606137	39492
PTQ477	x3	y3	chromosome_9	5566646	5606170	39525
PTQ478	x1	y1	chromosome_12	7736034	7838368	102335
PTQ478	x1	y3	chromosome_12	7736034	7838372	102339
PTQ478	x3	y1	chromosome_12	7736034	7838368	102335
PTQ478	x3	y3	chromosome_12	7736034	7838372	102339
PTQ483	y1	x1	chromosome_14	1465543	1518006	52464
PTQ487	x1	y1	chromosome_17	27003	63484	36482
